PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40686307,Current Advances and Future Directions for Sensitizing Gastric Cancer to Immune Checkpoint Inhibitors.,2025,Fukun Guo,"Division of Experimental Hematology and Cancer Biology, Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, USA.",
40686297,Shwachman-Diamond Syndrome Patient Progressing From Chronic Myelomonocytic Leukemia to Acute Myeloid Leukemia within Two Months.,2025,Qing Li; Xi Lan; Lei Chen; Xi Tang; Juanyu Ke; Rong Huang; Siping Chen,"Shenzhen Hospital, Southern Medical University, Shenzhen, Guangdong Province, China.",
40686265,Factors Associated With Self-Report Symptom Screening Adherence in Pediatric Cancer Patients.,2025,Farha Sherani,"Driscoll Children's Hospital, Cancer and Blood Disorders Center and Texas A&M University, Corpus Christi, Texas, USA.",
40686190,"Chemical Stability of Ceftazidime Compounded in Saline, Glycerin and Dexamethasone-SP Solutions Stored at -20°C, 4°C and 25°C Over a 60 Day Period.",2025,Daniel Gustafson; Krista Banks,"Pharmacology Core, University of Colorado Comprehensive Cancer Center, Colorado State University, Fort Collins, Colorado, USA.",
40686175,[Frontier technologies and development trends of network pharmacology: a patent bibliometric analysis].,2025,Wei Xiao; Zhi-Peng Ke; Zhen-Zhong Wang; Liang Cao; Tuan-Jie Wang,"State Key Laboratory of Technologies for Chinese Medicine Pharmaceutical Process Control and Intelligent Manufacture Nanjing 211112, China.",
40686169,"[Preparation, characterization, and in vitro anti-liver tumor activity of bufalin nanoparticles with Scrophularia ningpoensis polysaccharide and ursodeoxycholic acid as carriers].",2025,Li-Qiao Zhu; Hua-Gang Sheng; Xue-Mei Chen; Bi-Qi Deng; Zhen Zheng,"School of Pharmacy,Shandong University of Traditional Chinese Medicine Ji'nan 250355,China.",
40686131,[Role of miRNA in prostate cancer and research progress of traditional Chinese medicine intervention].,2025,Yong-Qiang Zhao,"Urology Department, Gansu Provincial Hospital of Traditional Chinese Medicine Lanzhou 730050, China.",
40686130,[Mechanisms and treatment of inflammation-cancer transformation in colon from perspective of cold and heat in complexity in integrative medicine].,2025,Ya-Lin Li,"Department of Gastroenterology,the First People's Hospital of Yunnan Province Kunming 650500,China.",
40686114,[Mechanism of Yuzhi Zhixue Granules in treating polycystic ovary syndrome with insulin resistance in rats via metabolomics and proteomics].,2025,He Xiao; Hai-Xin Xiang; Fang-Jiao Wei; Xiu-Wen Wang; En-Li Wang; Cong-Hui Zhang; Jing-Chun Yao,"State Key Laboratory of Integration and Innovation of Classic Formula and Modern Chinese Medicine, Lunan Pharmaceutical Group Co., Ltd. Linyi 273400, China.; Linyi Key Laboratory for Immunopharmacology and Immunotoxicology of Natural Medicine, Lunan Pharmaceutical Group Co., Ltd. Linyi 273400, China.; School of Pharmacy, Shandong University of Traditional Chinese Medicine Ji'nan 250355, China State Key Laboratory of Integration and Innovation of Classic Formula and Modern Chinese Medicine, Lunan Pharmaceutical Group Co., Ltd. Linyi 273400, China.; School of Pharmacy, Shandong University of Traditional Chinese Medicine Ji'nan 250355, China.",
40686091,Optimizing SPION Labeling for Single-Cell Magnetic Microscopy.,2025,Andre Pointner; Roland Nagy,"Institute of Applied Quantum Technologies, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen 91052, Germany.",
